,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
175,Cn1ccnc1C(=O)c2ccc(NC(=O)C(=O)NC(CO)Cc3ccccc3)cc2,LN00854523 CSC048939951 MCULE-9042747737 MolPort-008-332-128 PubChem-49653063 ZINC000040266528 ZINC40266528,2.32845,1.16543,comp176,0
179,NS(=O)(=O)c1ccc(NC(=O)Cc2csc(NC(=O)Nc3ccc(cc3)C(=O)O)n2)cc1,Z5215065114 2325899446 PubChem-166429317,-7.34384,4.13549,comp180,0
180,Cc1ccc2[nH]c(CNc3nc(N[C@H]4CCn5nnnc5C4)nc6cccnc36)nc2c1,CSSS20153202738,-9.08152,5.16471,comp181,0
181,Nc1ccc(NC(=O)Nc2nc(CC(=O)Nc3ccc(cc3)S(=O)(=O)N)cs2)cc1,2325899831 CSSS06430522921 PubChem-166429314 PubChem-166429315 Z5419498665,-8.93481,4.02974,comp182,0
182,Nc1ccc(NC(=O)Nc2nc(CC(=O)Nc3ccc(cc3)S(=O)(=O)N)cs2)cc1,2325899831 CSSS06430522921 PubChem-166429314 PubChem-166429315 Z5419498665,-8.89095,4.41099,comp183,0
183,NS(=O)(=O)c1ccc(N\C=C\2/C(=O)NC(=O)N(Cc3ccccc3Cl)C2=O)cc1,6165887 CSSS00132871719 MolPort-002-247-978 PubChem-5646465 ZINC000006165887 ZINC06165887,-8.87987,3.05705,comp184,0
185,CC1CC(c2ccccc2)n3nc(NC(=O)c4cccc(c4)[N+](=O)[O-])nc3N1,CSSS00132803886 MCULE-8849528937 MolPort-000-809-109 PubChem-135651397,-8.62818,2.30206,comp186,0
186,C(Nc1nc(N\N=C\c2ccc3OCOc3c2)nc(Nc4ccccc4)n1)c5ccccc5,CSSS20538603395 PubChem-56691085 ZINC96564857,-8.32164,4.70164,comp187,0
190,COc1ccc(CNc2nc(NCCc3ccccc3)nc4ncccc24)cc1OC,CSSS14929153682 PubChem-11292929,-6.85016,4.85434,comp191,0
191,NS(=O)(=O)c1ccc(NC(=O)Cc2csc(NC(=O)Nc3ccc(cc3)C(=O)O)n2)cc1,2325899446 CSSS06430522923 PubChem-166429317 Z5215065114,-6.78527,4.08405,comp192,0
193,Cc1nnnn1c2cccc(NC(=O)CC3N(Cc4ccc(F)cc4)CCNC3=O)c2,CSSS00160231061 MCULE-3774431136 MolPort-045-967-517 PubChem-131932347,-6.47797,1.7835,comp194,0
194,COc1ccc(cc1)N2C(=O)NC(=O)\C(=C(\C)/NCC3CCC(CC3)C(=O)O)\C2=O,25178405 CSSS02125591454 MolPort-004-972-734 PubChem-6018773 ZINC000025178405,-6.44808,1.3769,comp195,0
195,NS(=O)(=O)c1ccc(NC(=O)Cc2csc(NC(=O)Nc3ccc(cc3)C#C)n2)cc1,2325899816 CSSS06430522922 PubChem-166429316 Z5215065113,-6.3814,4.06061,comp196,0
198,COc1ccc2[nH]c3C(NCCc3c2c1)C4=C(O)N=C(O)N(C4=O)c5ccc(cc5)C(=O)O,CSSS00160738243 MCULE-2566021035 MolPort-000-796-780,-5.68091,2.92591,comp199,0
200,OC1=C(C2=NN[C@H](C2)c3ccc(cc3)[N+](=O)[O-])C(=O)N(Cc4ccccc4)C(=O)N1,ChemDiv-D364-0232 MCULE-5035852933 MolPort-010-798-542,-9.78355,0.78156,comp201,0
201,OC1=C(C2=NNC(C2)c3ccc(cc3)[N+](=O)[O-])C(=O)N(Cc4ccccc4)C(=O)N1,ChemDiv-D364-0232 MCULE-5035852933 MolPort-010-798-542,-9.78342,0.78447,comp202,0
202,[O-][N+](=O)c1ccc(Nc2nc(NCc3occc3)nc(NCc4occc4)n2)cc1,ChemDiv-8008-5994 MCULE-1153153260 MolPort-002-702-260 PubChem-4289180 ZINC000012374913 ZINC12374913,-7.70853,4.0284,comp203,0
203,O=C(Nc1nc(cs1)C(=O)NCCc2cccnc2)c3ccc4OCOc4c3,ChemDiv-V018-3776 MolPort-016-969-228 PubChem-46114021 ZINC000040355747,-7.39248,3.77071,comp204,0
204,O=C(Nc1nc(cs1)C(=O)NCCc2cccnc2)c3ccc4OCOc4c3,ChemDiv-V018-3776 MolPort-016-969-228 PubChem-46114021 ZINC000040355747,-7.32761,3.74927,comp205,0
