,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
42,CS(=O)(=O)Cc1ccc(cc1)C(=O)Nc2cccc(n2)C(=O)NCCc3nc4ccccc4[nH]3,MCULE-8831672565,-8.87691,4.9631,comp43,0
43,CN1C(=O)Oc2cc(ccc12)S(=O)(=O)Nc3ccc(NCc4ccc5OCOc5c4)nc3,MCULE-7613824954,-8.81936,3.10322,comp44,0
44,Cc1cccc(c1)C2N(C(=O)C(=C2C(=O)CCc3ccccc3)O)c4nc5cc(ccc5[nH]4)C(=O)O,MCULE-9265256901,-8.79558,2.24184,comp45,0
45,O=C(CN1C(=O)c2ccccc2C1=O)Nc3cccc(n3)C(=O)Nc4ccc5OCOc5c4,MCULE-4062390823,-8.64647,3.54573,comp46,0
46,CC1CC(c2ccccc2)n3nc(NC(=O)c4cccc(c4)[N+](=O)[O-])nc3N1,MCULE-8849528937 MolPort-000-809-109 PubChem-135651397,-8.62818,2.30206,comp47,0
47,O=C(NC1CCS(=O)(=O)C1)Nc2ccccc2C(=O)Nc3cccc(c3)n4cnnc4,MCULE-2376320250 MolPort-044-564-113 PubChem-132285807,-8.6035,4.40496,comp48,0
48,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-1493572403,-8.57749,6.16157,comp49,0
49,Cc1cccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3)[As](=O)(O)O)c1C,MCULE-5936263744,-8.57017,3.84999,comp50,0
50,O=C(Nc1ccccc1)Nc2cccc(n2)C(=O)Nc3ccc(cc3)S(=O)(=O)Nc4ncccn4,MCULE-1958004238,-8.54859,3.33782,comp51,0
51,CC(O)CNc1nc(Nc2ccc(cc2)S(=O)(=O)N)nc(n1)N(C)Cc3ccccc3,MCULE-8113936642,-8.52148,3.38366,comp52,0
52,O=C(CN1C(=O)c2ccccc2C1=O)Nc3cccc(n3)C(=O)Nc4ccc5OCOc5c4,MCULE-4062390823,-8.51578,3.21835,comp53,0
53,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(C)CC5)cc1OC,MCULE-3406841729,-8.51567,6.88278,comp54,0
54,CCc1nnc(NS(=O)(=O)c2ccc(N\C=C\3/C(=O)NC(=O)N(C3=O)c4ccccc4)cc2)s1,MCULE-7524609032 MolPort-019-731-103 PubChem-6811760,-8.50717,1.18063,comp55,0
55,COc1ccc(cc1[N+](=O)[O-])C(=O)Nc2cccc(n2)C(=O)NCCc3c[nH]c4ccccc34,MCULE-6727354049,-8.4638,3.74886,comp56,0
56,COc1ccc(CNc2nc(Nc3ccc4cn[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-2995111376,-8.43891,5.99616,comp57,0
57,CN(Cc1ccccc1)c2nc(NCC3CCCO3)nc(Nc4ccc(cc4)S(=O)(=O)N)n2,MCULE-7863067261,-8.42096,3.40477,comp58,0
58,COc1ccc(NC(=O)c2cccc(NC(=O)CN3C(=O)c4ccccc4C3=O)n2)cc1[N+](=O)[O-],MCULE-2409328037,-8.39606,3.40912,comp59,0
59,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)nc(n2)N5CCC(CO)CC5)cc1OC,MCULE-1615770994,-8.35031,7.31002,comp60,0
60,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCCCC5)cc1OC,MCULE-5934066987,-8.34722,5.91558,comp61,0
